DateTime;fv_r[];fv_l[];abp_finger[mm_Hg];abp_arm[mm_Hg];ekg[];marker[];etco2[mm_Hg];rr[bpm];co2[mm_Hg]
41900.41709;87.01;59.08;83.5;77.15;0.3418;0.0049;36;4.999;5.997
41900.41709;87.01;59.08;94.73;76.66;0.2197;-0.0146;36;4.999;5.997
41900.41709;87.01;59.08;95.7;77.15;0.1416;0.0098;36;4.999;5.997
41900.41709;94.53;64.45;103.5;78.13;0.0342;0.0049;36;4.999;5.997
41900.41709;94.53;63.92;110.8;75.2;-0.0439;-0.0098;36;4.999;5.997
41900.41709;94.53;63.92;113.3;75.68;-0.0781;0.0049;36;4.999;5.997
41900.41709;100.4;74.12;119.1;76.17;-0.1465;0.0146;36;4.999;5.997
41900.41709;100.4;74.12;122.1;75.2;-0.1758;-0.0244;36;4.999;5.997
41900.41709;100.4;74.12;123.5;74.22;-0.2002;-0.0146;36;4.999;5.997
41900.41709;100.4;75.2;123;75.68;-0.21;-0.0195;36;4.999;5.997
41900.41709;100.4;75.2;124;76.17;-0.2295;-0.0293;36;4.999;5.997
41900.41709;100.4;75.2;122.1;76.17;-0.2393;0.0049;36;4.999;5.997
41900.41709;97.22;75.2;121.1;76.66;-0.2686;0.0098;36;4.999;5.997
41900.41709;97.75;75.2;120.1;71.78;-0.2539;-0.0049;36;4.999;5.997
41900.41709;97.75;75.2;116.7;71.78;-0.2686;0.0098;36;4.999;5.997
41900.41709;97.75;75.2;114.3;72.75;-0.2686;0.0098;36;4.999;5.997
41900.41709;94.53;73.05;110.4;72.27;-0.2588;0.0049;36;4.999;5.997
41900.41709;94.53;73.05;108.9;71.29;-0.2588;0;36;4.999;5.997
41900.41709;94.53;73.05;105.5;73.24;-0.249;-0.0342;36;4.999;5.997
41900.41709;85.94;66.6;103.5;72.75;-0.2637;-0.0098;36;4.999;5.997
41900.41709;85.94;66.6;100.1;72.75;-0.2686;-0.0244;36;4.999;5.997
41900.41709;85.94;66.6;98.14;73.24;-0.2686;-0.0049;36;4.999;5.997
41900.41709;77.34;59.08;94.24;71.78;-0.2637;0;36;4.999;5.997
41900.41709;77.34;59.08;93.75;72.75;-0.2393;0;36;4.999;5.997
41900.41709;77.34;59.08;93.26;71.78;-0.293;0.0098;36;4.999;5.997
41900.41709;76.27;53.71;90.82;72.75;-0.2637;-0.0293;36;4.999;5.997
41900.41709;76.27;53.71;91.8;71.29;-0.2637;-0.0244;36;4.999;5.997
41900.41709;76.27;53.71;90.33;71.29;-0.2588;-0.0146;36;4.999;5.997
41900.4171;75.2;49.41;86.91;72.75;-0.2588;0;36;4.999;5.997
41900.4171;75.2;49.41;83.98;74.22;-0.2441;0;36;4.999;5.997
41900.4171;75.2;49.41;86.91;75.2;-0.2686;0.0049;36;4.999;5.997
41900.4171;75.2;48.34;86.91;73.73;-0.2344;0.0049;36;4.999;5.997
41900.4171;75.2;48.34;84.96;78.61;-0.2393;0.0098;36;4.999;5.997
41900.4171;75.2;48.34;84.47;83.5;-0.2295;-0.0146;36;4.999;5.997
41900.4171;74.12;47.27;83.98;87.89;-0.2197;-0.0049;36;4.999;5.997
41900.4171;74.12;47.27;85.45;87.89;-0.2344;0.0049;36;4.999;5.997
41900.4171;74.12;47.27;83.98;94.24;-0.2295;-0.0049;36;4.999;5.997
41900.4171;74.12;47.27;85.94;98.14;-0.2344;-0.0146;36;4.999;5.997
41900.4171;74.12;48.34;81.54;102.1;-0.2246;-0.0049;36;4.999;5.997
41900.4171;74.12;48.34;83.98;106;-0.2295;0.0049;36;4.999;5.997
41900.4171;74.12;48.34;84.47;107.9;-0.249;0.0146;36;4.999;5.997
41900.4171;70.9;49.41;82.52;109.4;-0.2295;0.0146;36;4.999;5.997
41900.4171;70.9;49.41;83.01;110.8;-0.2295;-0.0049;36;4.999;5.997
41900.4171;70.9;49.41;80.08;113.3;-0.2295;0;36;4.999;5.997
41900.4171;66.6;49.41;81.05;116.7;-0.2246;-0.0146;36;4.999;5.997
41900.4171;66.6;49.41;81.05;116.2;-0.249;-0.0049;36;4.999;5.997
41900.4171;66.6;49.41;80.57;114.7;-0.2295;0.0049;36;4.999;5.997
41900.4171;66.6;49.41;80.57;115.7;-0.2344;0.0049;36;4.999;5.997
41900.4171;66.6;49.41;79.59;117.7;-0.2344;-0.0049;36;4.999;5.997
41900.4171;66.6;49.41;79.59;116.2;-0.2344;0;36;4.999;5.997
41900.4171;66.6;50.49;81.05;116.7;-0.2588;0;36;4.999;5.997
41900.4171;66.6;50.49;81.54;115.2;-0.2393;0;36;4.999;5.997
41900.4171;66.6;50.49;80.57;116.7;-0.2344;-0.0146;36;4.999;5.997
41900.4171;67.68;50.49;83.01;116.7;-0.249;-0.0244;36;4.999;8.002
41900.4171;67.68;50.49;83.5;116.2;-0.2539;-0.0293;36;4.999;8.002
41900.4171;67.68;50.49;80.08;115.7;-0.2441;0;36;4.999;8.002
41900.4171;70.9;52.64;83.01;114.3;-0.2637;0;36;4.999;8.002
41900.4171;70.9;52.64;84.96;112.3;-0.2539;0;36;4.999;8.002
41900.4171;70.9;52.64;86.91;109.4;-0.2637;0.0049;36;4.999;8.002
41900.4171;70.9;52.64;88.38;110.8;-0.2686;-0.0244;36;4.999;8.002
41900.4171;70.9;52.64;85.45;109.4;-0.2637;0;36;4.999;8.002
41900.4171;70.9;52.64;86.43;107.4;-0.249;0;36;4.999;8.002
41900.4171;70.9;52.64;87.4;107.4;-0.249;-0.0049;36;4.999;8.002
41900.4171;70.9;52.64;88.87;105;-0.2588;-0.0049;36;4.999;8.002
41900.4171;70.9;52.64;86.91;104;-0.2441;-0.0049;36;4.999;8.002
41900.4171;70.9;52.64;88.87;103;-0.2637;0.0049;36;4.999;8.002
41900.4171;70.9;51.56;89.36;103;-0.2881;0.0098;36;4.999;8.002
41900.4171;70.9;51.56;88.38;99.61;-0.2588;0.0098;36;4.999;8.002
41900.4171;70.9;51.56;90.82;99.12;-0.2637;-0.0049;36;4.999;8.002
41900.4171;67.68;50.49;88.38;96.68;-0.2588;0.0049;36;4.999;8.002
41900.4171;67.68;50.49;87.89;98.63;-0.2539;-0.0293;36;4.999;8.002
41900.4171;67.68;50.49;86.91;96.19;-0.2539;-0.0195;36;4.999;8.002
41900.4171;66.6;49.41;88.38;95.21;-0.2686;-0.0342;36;4.999;8.002
41900.4171;66.6;49.41;86.43;96.68;-0.2686;-0.0049;36;4.999;8.002
41900.4171;66.6;49.41;86.43;96.19;-0.2783;0.0098;36;4.999;8.002
41900.4171;65.53;48.34;85.94;90.33;-0.2539;0.0049;36;4.999;8.002
41900.4171;66.06;48.34;84.96;91.8;-0.2588;-0.0391;36;4.999;8.002
41900.4171;65.53;48.34;81.54;91.8;-0.2783;-0.0195;36;4.999;8.002
